tier,seed,disaster_family,role,metric,baseline,trained,delta,rationale_mode,schema_version
easy,123,multi_cascade,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,normalized_reward,12.476758865004195,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,raw_reward,10.399999999999997,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,save_rate,0.8333333333333334,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,normalized_reward,14.203906736089891,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,raw_reward,-8.300000000000008,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,save_rate,0.8333333333333334,nan,nan,linear_capped,2026.04.24
easy,123,structural,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,structural,floor_agent,normalized_reward,-17.095814134278534,nan,nan,linear_capped,2026.04.24
easy,123,structural,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,structural,floor_agent,raw_reward,-28.819999999999993,nan,nan,linear_capped,2026.04.24
easy,123,structural,floor_agent,save_rate,0.16666666666666666,nan,nan,linear_capped,2026.04.24
easy,123,structural,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,structural,orchestrator,normalized_reward,-21.542057735356522,nan,nan,linear_capped,2026.04.24
easy,123,structural,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,structural,orchestrator,raw_reward,-96.69999999999996,nan,nan,linear_capped,2026.04.24
easy,123,structural,orchestrator,save_rate,0.16666666666666666,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,floor_agent,normalized_reward,1.6788175127099265,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,floor_agent,raw_reward,-6.019999999999995,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,floor_agent,save_rate,0.625,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,orchestrator,normalized_reward,1.0870643966612887,nan,nan,linear_capped,2026.04.24
